best_metric,epoch,lr,seconds,train_kge,train_loss,train_mae,train_nse,train_rmse,val_kge,val_kge_denorm,val_loss,val_mae,val_nse,val_rmse
0.7453960180282593,1,0.001,955.918407201767,-0.42842456250438415,1.4276274623014147,0.1764017067506774,0.6084930774231987,0.21791796671618244,-1.9012584358930422,0.7453960180282593,2.902259002972047,0.11831037538004352,0.26076340318886726,0.1476407414444713
0.7453960180282593,2,0.001,1405.832117319107,0.3576000165779397,0.6424082869437484,0.1337938990703658,0.7801291406828038,0.16849455170048008,-1.6359386538545262,0.2955441474914551,2.636364678762884,0.11505555016440709,0.32299053453437476,0.1419130403273875
0.7453960180282593,3,0.001,1071.1265733242035,0.1601101437747298,0.8407531201461683,0.12144860480731103,0.814871253406223,0.15456450597318153,-0.7831390500152859,0.6208494901657104,1.783130305615851,0.09520612775719879,0.4637724584763836,0.11968974406948839
0.8312094807624817,4,0.001,1112.5104939937592,0.4465429896196737,0.5535171089273538,0.12088455421171033,0.8209189900060303,0.1535950599581652,-0.8477138673137972,0.8312094807624817,1.8473127422976063,0.09765031823942824,0.4039117432768056,0.12135829905537637
0.8312094807624817,5,0.001,1107.4496519565582,0.345425549870961,0.6550137837027085,0.11187990450783517,0.839306932896351,0.14396478952652628,-0.7429658737919592,0.7277622818946838,1.7428605017642151,0.0961632978414627,0.4357587356063355,0.12007829501851874
0.8312094807624817,6,0.001,1110.7792263031006,0.47854889312963833,0.5214594166677626,0.10829561302881327,0.8496675864334243,0.13926118318290218,-0.7847163822859401,0.8040735125541687,1.7851570033065467,0.0932106786149765,0.3577418627427251,0.11511816023246635
0.8312094807624817,7,0.001,1121.3532693386078,0.3877895076672674,0.6121594510678912,0.10603174481815003,0.8525394482138269,0.13751595795614457,-1.0641078337902652,0.7918919324874878,2.0649427488881456,0.09380566174363891,0.48342465367867654,0.11751010458558922
0.8312094807624817,8,0.0005,969.7832581996918,-1.1032406006520499,2.0628706402737893,0.10308355476309952,0.8610247417434447,0.13378753622115627,-1.2449380686132288,0.7417216300964355,2.2459642111177405,0.11882544351386759,-0.09681327452414225,0.13741993756967394
0.8312094807624817,9,0.0005,785.605863571167,0.30542856463472123,0.6957198684456658,0.09840450116830216,0.8707418792600571,0.12838281120732323,-0.7693389690635267,0.7851031422615051,1.7702459944969093,0.08767770593972962,0.5566504755172677,0.11346968936945036
0.8312094807624817,10,0.0005,794.951828956604,0.30157262114584693,0.6991454238699762,0.09666629195147619,0.8768072842763258,0.12681574626348668,-0.8084533302338797,0.8106452822685242,1.8092025515930377,0.08444958509195995,0.5619260422543458,0.10888950110663127
0.8312094807624817,11,0.0005,1020.5247809886932,-0.08741152820326993,1.080500860587399,0.09509023196623653,0.8778212072764523,0.1250125042381744,-0.6878627336976508,0.6918677091598511,1.6884400726856874,0.08336409919937977,0.5821211649744832,0.10625799356730492
